#{"t_start": 1782217699.9683669, "env_id": "None"}
r,l,t,is_success,progress,recent_rmse,distance,on_wall
-0.865793,120,6.170024,False,0.13822637533994156,0.08558233984535354,0.08819225352100431,True
-0.983053,120,10.376629,False,0.008132973844118206,0.09837790689778797,0.09677887319920093,True
-0.487329,120,14.109845,False,0.02643871582520447,0.06205722027094105,0.0975365720064953,True
-0.43779,120,18.079736,False,0.031090758521768312,0.03227371632546878,0.04788216957844085,True
-0.54383,120,21.595791,False,0.027010055633439976,0.05984646626140856,0.042841293081202894,True
-0.776267,120,25.163623,False,0.0,0.048764285991064776,0.03154439897110967,True
-0.506329,120,28.118711,False,0.008300031434427991,0.02218083560457969,0.01513860801958722,True
-0.930417,120,31.549682,False,0.030719525670054097,0.10215862840122936,0.11503326952050541,True
8.268041,120,37.795722,False,0.5941489551789981,0.044396869235984744,0.013761642391267821,True
22.795465,96,43.318395,True,0.9878264226023635,0.024222883144516903,0.03324556054315791,True
16.442419,120,50.678633,False,0.8391361461642238,0.032468261227233765,7.742991221496994e-05,True
21.462232,85,55.663852,True,0.9860852289891705,0.016032272524495704,0.029079429510860646,True
16.030773,120,63.219003,False,0.8207936704863019,0.021783609380720884,0.016441626427149178,True
22.61368,91,69.48242,True,0.9886435255455182,0.02189918860376175,0.021596926323334462,True
15.341607,120,77.456063,False,0.46181600505856624,0.017211627843381715,0.015940876269984482,True
21.853508,84,82.823353,True,0.9898157905754756,0.01867890774787518,0.017636955382706404,True
16.409671,120,90.797362,False,0.8089045578814488,0.02687519224656696,0.026586761329960032,True
15.753708,120,97.895084,False,0.9135253569720089,0.025193316081292428,0.030335628978618162,True
15.384579,120,105.507331,False,0.6459335054714317,0.029100901982571904,0.010858269294387268,True
14.946112,120,112.101712,False,0.7202061141752566,0.04313680410063281,0.03271335623140953,True
13.358998,120,118.309852,False,0.8707420431494733,0.11299728996977716,0.1467406044419328,True
16.817024,120,123.7524,False,0.9063604013133311,0.022460157162410236,0.005180325918891865,True
21.994082,93,128.060488,True,0.9908246118295905,0.010365098690875145,0.01823889032907304,True
15.765487,120,133.791894,False,0.671264570930162,0.036587358796316,0.02696109533934494,True
25.149023,108,138.94072,True,0.9912337662808187,0.01963402749738949,0.0028380288190422613,True
15.968299,120,144.590915,False,0.8964157328617054,0.025244729276477577,0.02875905156009917,True
19.545034,70,147.745696,True,0.9966626765151565,0.02220382033420694,0.019298269533222553,True
14.987391,120,153.29457,False,0.4494915980366913,0.05626745826756662,0.05052986493715536,True
16.405536,120,158.882287,False,0.781055093842668,0.023324158391814113,0.004460778259323093,True
16.040816,120,164.521844,False,0.8485842991732062,0.013820623064137293,0.008429318354785874,True
25.301783,112,169.789841,True,0.9862549388315806,0.021877681112258556,0.021700728634629234,True
15.192236,120,175.472089,False,0.5674099346757128,0.027403258040591877,0.03445405756516021,True
16.004668,120,180.954896,False,0.5586083507798184,0.020474740104815634,0.01202461417919599,True
15.81726,120,186.774518,False,0.7421246107206553,0.04565526343163034,0.024140120785447916,True
15.574355,120,192.508918,False,0.5295156725999696,0.022354629938322133,0.00021406850476057967,True
15.75416,120,198.404568,False,0.8449232451344548,0.024919492119558975,0.020571745151471792,True
16.424649,120,204.265079,False,0.9713860909980078,0.02818677137122732,0.03198356220376399,True
15.793762,120,209.510406,False,0.7016489243286939,0.02558135171035743,0.015551132992095497,True
15.679624,120,215.393745,False,0.499906388812856,0.021932713933071366,0.026535258176665452,True
16.100777,120,221.229266,False,0.6328289528575219,0.015629481548560142,0.023583016046904434,True
15.635394,120,227.082995,False,0.5936160179327703,0.028320374208437714,0.006305892917563446,True
16.112156,120,232.895986,False,0.5837629328279991,0.013645311859477349,0.008182723352430052,True
16.585186,120,238.824643,False,0.9750493640845237,0.012078803743730085,0.01596702502969942,True
15.352627,120,244.97174,False,0.9454918656824188,0.020548408007597586,0.026724551345442386,True
15.641098,120,251.148687,False,0.6844853453884424,0.01819991066842964,0.02576243470809382,True
15.694095,120,257.475834,False,0.46319515369534775,0.022702843182348272,0.019444367569585192,True
15.768255,120,263.674164,False,0.8371432551756741,0.012439995898807956,0.015882903679519243,True
